Open,Low,High,Close,Rate_change,Percent_change,Date,Solar_date
262060,262050,262300,262300,1490,0.57%,2022/03/17,1400/12/26
262560,262350,264400,263790,170,0.06%,2022/03/16,1400/12/25
263440,263150,265900,263620,970,0.37%,2022/03/15,1400/12/24
262550,261550,263100,262650,1520,0.58%,2022/03/14,1400/12/23
260740,260650,265900,264170,5190,2%,2022/03/13,1400/12/22
257080,256850,264390,258980,2020,0.79%,2022/03/12,1400/12/21
257770,256570,258300,256960,490,0.19%,2022/03/10,1400/12/19
258750,254850,258990,257450,2960,1.15%,2022/03/09,1400/12/18
258860,258650,262600,260410,2230,0.86%,2022/03/08,1400/12/17
254750,254270,258890,258180,4350,1.71%,2022/03/07,1400/12/16
252610,251250,254300,253830,470,0.19%,2022/03/06,1400/12/15
256600,253760,256700,254300,1850,0.73%,2022/03/05,1400/12/14
255530,255350,257800,256150,430,0.17%,2022/03/03,1400/12/12
258710,255550,259000,255720,3930,1.54%,2022/03/02,1400/12/11
259860,259550,260300,259650,300,0.12%,2022/02/28,1400/12/09
260140,259350,260400,259950,420,0.16%,2022/02/27,1400/12/08
260830,259150,260890,260370,1070,0.41%,2022/02/26,1400/12/07
261690,259850,262100,261440,2070,0.8%,2022/02/24,1400/12/05
262080,259350,262600,259370,1000,0.39%,2022/02/23,1400/12/04
258540,258360,261890,260370,2330,0.9%,2022/02/22,1400/12/03
255380,254850,258400,258040,3950,1.55%,2022/02/21,1400/12/02
258800,254050,258800,254090,6000,2.36%,2022/02/20,1400/12/01
263120,259920,263120,260090,3200,1.23%,2022/02/19,1400/11/30
264980,262850,265300,263290,1810,0.69%,2022/02/17,1400/11/28
267040,264850,268300,265100,4600,1.74%,2022/02/16,1400/11/27
270840,268390,270860,269700,1060,0.39%,2022/02/14,1400/11/25
264490,264280,268800,268640,4050,1.53%,2022/02/13,1400/11/24
262190,262150,266400,264590,2320,0.88%,2022/02/12,1400/11/23
262390,262150,262400,262270,70,0.03%,2022/02/10,1400/11/21
263690,260650,263700,262340,1760,0.68%,2022/02/09,1400/11/20
262070,259250,262400,260580,3900,1.5%,2022/02/08,1400/11/19
266690,263750,266900,264480,3130,1.18%,2022/02/07,1400/11/18
261170,261050,267800,267610,3950,1.5%,2022/02/06,1400/11/17
268730,263050,268900,263660,8990,3.41%,2022/02/05,1400/11/16
273050,271960,274000,272650,100,0.04%,2022/02/03,1400/11/14
273770,272250,274200,272550,2030,0.74%,2022/02/02,1400/11/13
277540,273750,277600,274580,2290,0.83%,2022/02/01,1400/11/12
278810,276350,278970,276870,2010,0.73%,2022/01/31,1400/11/11
277880,277750,279400,278880,390,0.14%,2022/01/30,1400/11/10
282080,279050,282800,279270,1560,0.56%,2022/01/29,1400/11/09
277240,276860,278100,277710,900,0.32%,2022/01/27,1400/11/07
279020,278360,281300,278610,850,0.31%,2022/01/26,1400/11/06
278170,277350,278800,277760,2030,0.73%,2022/01/25,1400/11/05
279300,278850,281400,279790,2150,0.77%,2022/01/24,1400/11/04
274750,274350,277800,277640,2410,0.88%,2022/01/23,1400/11/03
275950,274550,276400,275230,20,0.01%,2022/01/22,1400/11/02
274650,274550,275590,275250,490,0.18%,2022/01/20,1400/10/30
274270,274050,276100,274760,1270,0.46%,2022/01/19,1400/10/29
271870,271250,274600,273490,640,0.23%,2022/01/18,1400/10/28
271690,271570,273290,272850,2230,0.82%,2022/01/17,1400/10/27
276440,273340,276590,275080,550,0.2%,2022/01/16,1400/10/26
266670,264990,276300,274530,2870,1.05%,2022/01/15,1400/10/25
277400,277400,277400,277400,10730,4.02%,2022/01/13,1400/10/23
267140,266510,267170,266670,380,0.14%,2022/01/12,1400/10/22
267320,267010,267380,267050,330,0.12%,2022/01/11,1400/10/21
268390,267220,268390,267380,930,0.35%,2022/01/10,1400/10/20
268810,268230,268890,268310,580,0.22%,2022/01/09,1400/10/19
269880,268730,269900,268890,1010,0.38%,2022/01/08,1400/10/18
269760,269740,269900,269900,0,0,2022/01/05,1400/10/15
273860,269740,273950,269900,4050,1.5%,2022/01/04,1400/10/14
273860,273790,273950,273950,0,0,2022/01/03,1400/10/13
273990,273790,273990,273950,0,0,2022/01/02,1400/10/12
273950,273790,273950,273950,70,0.03%,2022/01/01,1400/10/11
274420,273790,274420,273880,450,0.16%,2021/12/30,1400/10/09
274340,274260,274420,274330,450,0.16%,2021/12/29,1400/10/08
273950,273860,274020,273880,140,0.05%,2021/12/28,1400/10/07
273950,273860,274020,274020,30,0.01%,2021/12/27,1400/10/06
273950,273860,274020,273990,30,0.01%,2021/12/26,1400/10/05
274000,273860,274020,274020,0,0,2021/12/25,1400/10/04
273970,273860,274020,274020,0,0,2021/12/23,1400/10/02
272850,272850,274020,274020,1010,0.37%,2021/12/22,1400/10/01
274020,272850,274020,273010,850,0.31%,2021/12/21,1400/09/30
273990,273860,274020,273860,160,0.06%,2021/12/20,1400/09/29
274350,273860,274420,274020,400,0.15%,2021/12/19,1400/09/28
274150,274060,274420,274420,250,0.09%,2021/12/18,1400/09/27
274220,274060,274220,274170,60,0.02%,2021/12/16,1400/09/25
274120,274050,274210,274110,30,0.01%,2021/12/15,1400/09/24
274650,274050,274690,274140,650,0.24%,2021/12/14,1400/09/23
276830,274630,276930,274790,2140,0.78%,2021/12/13,1400/09/22
276940,276770,276980,276930,20,0.01%,2021/12/12,1400/09/21
277160,276820,277160,276950,90,0.03%,2021/12/11,1400/09/20
277640,277000,277770,277040,730,0.26%,2021/12/09,1400/09/18
278160,277610,278240,277770,360,0.13%,2021/12/08,1400/09/17
278200,278080,278240,278130,110,0.04%,2021/12/07,1400/09/16
278720,278080,278720,278240,400,0.14%,2021/12/06,1400/09/15
279730,278560,279770,278640,1110,0.4%,2021/12/05,1400/09/14
273260,273130,280230,279750,6510,2.38%,2021/12/04,1400/09/13
266930,266860,273290,273240,7070,2.66%,2021/12/02,1400/09/11
260370,260230,266270,266170,22900,8.6%,2021/12/01,1400/09/10
288800,286550,292840,289070,2130,0.74%,2021/11/30,1400/09/09
293500,291200,293500,291200,17500,6.39%,2021/11/29,1400/09/08
281700,273470,281700,273700,8400,3.07%,2021/11/28,1400/09/07
286950,278070,287090,282100,5980,2.12%,2021/11/27,1400/09/06
289400,287650,289400,288080,2940,1.02%,2021/11/25,1400/09/04
286720,286600,292600,291020,5010,1.75%,2021/11/24,1400/09/03
284980,283850,286100,286010,2140,0.75%,2021/11/23,1400/09/02
282530,281850,284100,283870,910,0.32%,2021/11/22,1400/09/01
280320,280130,283400,282960,2190,0.78%,2021/11/21,1400/08/30
280350,280030,281080,280770,630,0.22%,2021/11/20,1400/08/29
279440,278730,279540,281400,1700,0.61%,2021/11/18,1400/08/27
279590,278890,279740,279700,230,0.08%,2021/11/17,1400/08/26
279710,278930,280370,279930,350,0.13%,2021/11/16,1400/08/25
283520,269700,283550,280280,4950,1.77%,2021/11/15,1400/08/24
286540,284900,287480,285230,1170,0.41%,2021/11/14,1400/08/23
284130,284100,287480,286400,2160,0.76%,2021/11/13,1400/08/22
283180,283100,284480,284240,580,0.2%,2021/11/11,1400/08/20
281760,281400,283880,283660,2600,0.93%,2021/11/10,1400/08/19
280230,280200,281780,281060,820,0.29%,2021/11/09,1400/08/18
279840,279700,281380,280240,330,0.12%,2021/11/08,1400/08/17
278010,277200,280080,279910,1670,0.6%,2021/11/07,1400/08/16
277460,277300,279580,278240,1730,0.63%,2021/11/06,1400/08/15
277280,276300,277280,276510,2460,0.89%,2021/11/04,1400/08/13
275920,275800,279280,278970,2960,1.07%,2021/11/03,1400/08/12
275150,275100,276080,276010,940,0.34%,2021/11/02,1400/08/11
275980,274700,276380,275070,680,0.25%,2021/11/01,1400/08/10
275390,274300,276080,275750,390,0.14%,2021/10/31,1400/08/09
276640,274100,276680,276140,430,0.16%,2021/10/30,1400/08/08
277020,276400,277080,276570,210,0.08%,2021/10/28,1400/08/06
275690,275400,278080,276780,1010,0.37%,2021/10/27,1400/08/05
275110,273900,275780,275770,150,0.05%,2021/10/26,1400/08/04
276530,275400,276780,275620,410,0.15%,2021/10/25,1400/08/03
274220,274100,276080,276030,1880,0.69%,2021/10/23,1400/08/01
273670,273500,274680,274150,1070,0.39%,2021/10/21,1400/07/29
274060,272610,274180,273080,1750,0.64%,2021/10/20,1400/07/28
273530,273400,275380,274830,2190,0.8%,2021/10/19,1400/07/27
271470,271100,273180,272640,820,0.3%,2021/10/18,1400/07/26
272840,271120,272980,271820,1030,0.38%,2021/10/17,1400/07/25
272810,271900,273280,272850,1980,0.73%,2021/10/16,1400/07/24
272380,270400,272480,270870,690,0.25%,2021/10/14,1400/07/22
270670,270100,272780,271560,830,0.31%,2021/10/13,1400/07/21
273440,269900,273680,270730,2600,0.96%,2021/10/12,1400/07/20
275730,272610,276080,273330,2480,0.91%,2021/10/11,1400/07/19
275620,274700,276280,275810,210,0.08%,2021/10/10,1400/07/18
279230,275500,279380,275600,3720,1.35%,2021/10/09,1400/07/17
281210,279100,281680,279320,2040,0.73%,2021/10/06,1400/07/14
279950,279650,281680,281360,0,0,2021/10/04,1400/07/12
281560,279450,281610,280410,1600,0.57%,2021/10/03,1400/07/11
282980,281150,283510,282010,2700,0.96%,2021/10/02,1400/07/10
283160,282550,284710,284710,2200,0.78%,2021/09/30,1400/07/08
281490,281270,283210,282510,1800,0.64%,2021/09/29,1400/07/07
277590,277550,280710,280710,3900,1.41%,2021/09/28,1400/07/06
275390,275350,276910,276810,1200,0.44%,2021/09/26,1400/07/04
276480,274850,276810,275610,1200,0.44%,2021/09/25,1400/07/03
275270,275050,276810,276810,1600,0.58%,2021/09/23,1400/07/01
274610,274450,276110,275210,1180,0.43%,2021/09/22,1400/06/31
274450,273650,276310,274030,0,0,2021/09/21,1400/06/30
274210,273350,274510,274430,220,0.08%,2021/09/20,1400/06/29
272850,272850,275010,274650,940,0.34%,2021/09/19,1400/06/28
276010,273050,276410,273710,750,0.27%,2021/09/18,1400/06/27
273610,272150,274510,274460,1250,0.46%,2021/09/16,1400/06/25
272210,272050,274210,273210,3260,1.19%,2021/09/15,1400/06/24
274510,273350,277310,276470,3360,1.23%,2021/09/14,1400/06/23
270490,269050,273210,273110,600,0.22%,2021/09/13,1400/06/22
277210,272250,277210,272510,4800,1.76%,2021/09/12,1400/06/21
278670,276550,278810,277310,960,0.35%,2021/09/11,1400/06/20
276880,276350,279010,278270,1460,0.53%,2021/09/09,1400/06/18
275120,275050,277310,276810,3000,1.1%,2021/09/08,1400/06/17
271810,270760,274010,273810,2600,0.96%,2021/09/07,1400/06/16
271110,269660,271510,271210,530,0.2%,2021/09/06,1400/06/15
271110,270550,272810,270680,370,0.14%,2021/09/05,1400/06/14
272810,270050,274110,270310,2600,0.96%,2021/09/04,1400/06/13
270860,270850,272910,272910,2560,0.95%,2021/09/02,1400/06/11
273310,270050,273410,270350,3870,1.43%,2021/09/01,1400/06/10
273870,272250,274310,274220,3580,1.32%,2021/08/31,1400/06/09
273850,269350,274010,270640,5440,2.01%,2021/08/30,1400/06/08
281890,275490,282040,276080,5930,2.15%,2021/08/29,1400/06/07
282460,281190,283740,282010,3020,1.08%,2021/08/28,1400/06/06
279490,277890,280240,278990,500,0.18%,2021/08/26,1400/06/04
277530,276790,280940,278490,1960,0.71%,2021/08/25,1400/06/03
277190,275690,278940,276530,60,0.02%,2021/08/24,1400/06/02
274390,273690,276940,276590,2100,0.77%,2021/08/23,1400/06/01
274500,273490,275440,274490,1990,0.73%,2021/08/22,1400/05/31
269030,268990,272500,272500,3510,1.3%,2021/08/21,1400/05/30
269080,268990,269140,268990,80,0.03%,2021/08/17,1400/05/26
269110,268990,269140,269070,80,0.03%,2021/08/16,1400/05/25
263490,263490,269540,268990,5800,2.2%,2021/08/15,1400/05/24
263110,262590,267240,263190,1100,0.42%,2021/08/14,1400/05/23
265890,262890,266840,264290,1800,0.68%,2021/08/12,1400/05/21
264690,263790,267640,266090,2750,1.04%,2021/08/11,1400/05/20
258990,258990,263940,263340,4250,1.64%,2021/08/10,1400/05/19
256340,256190,259940,259090,2200,0.86%,2021/08/09,1400/05/18
256290,252390,257440,256890,510,0.2%,2021/08/08,1400/05/17
254190,253990,257140,256380,190,0.07%,2021/08/07,1400/05/16
256490,255790,256740,256190,0,0,2021/08/05,1400/05/14
257250,254690,257340,256190,1100,0.43%,2021/08/04,1400/05/13
255790,255690,258140,257290,2100,0.82%,2021/08/03,1400/05/12
255690,254590,256640,255190,300,0.12%,2021/08/02,1400/05/11
257190,254290,257640,254890,2400,0.94%,2021/08/01,1400/05/10
260270,256990,260640,257290,1300,0.51%,2021/07/31,1400/05/09
251800,251690,256240,255990,4330,1.72%,2021/07/28,1400/05/06
250780,250690,252340,251660,1170,0.47%,2021/07/27,1400/05/05
248130,247890,251040,250490,2700,1.09%,2021/07/26,1400/05/04
247490,247490,249630,247790,700,0.28%,2021/07/25,1400/05/03
246190,246190,247340,247090,810,0.33%,2021/07/24,1400/05/02
246240,246190,246340,246280,1090,0.44%,2021/07/22,1400/04/31
244820,244790,245440,245190,550,0.22%,2021/07/20,1400/04/29
245600,244090,245640,244640,650,0.27%,2021/07/19,1400/04/28
246890,245190,247640,245290,2000,0.82%,2021/07/18,1400/04/27
247610,247190,248340,247290,300,0.12%,2021/07/17,1400/04/26
246190,246190,247940,246990,950,0.39%,2021/07/15,1400/04/24
247610,244990,247640,246040,1550,0.63%,2021/07/14,1400/04/23
249740,247090,249740,247590,2100,0.85%,2021/07/13,1400/04/22
250040,249290,250140,249690,300,0.12%,2021/07/12,1400/04/21
249210,248790,250140,249990,500,0.2%,2021/07/11,1400/04/20
250340,248190,250340,249490,700,0.28%,2021/07/10,1400/04/19
251070,249490,251140,250190,670,0.27%,2021/07/08,1400/04/17
250490,250010,251340,250860,230,0.09%,2021/07/07,1400/04/16
250990,250590,251640,251090,1370,0.55%,2021/07/06,1400/04/15
251220,249490,251340,249720,1790,0.72%,2021/07/05,1400/04/14
254490,251090,254640,251510,850,0.34%,2021/07/04,1400/04/13
251600,251390,253840,252360,850,0.34%,2021/07/03,1400/04/12
253290,250690,253440,251510,2490,0.99%,2021/07/01,1400/04/10
250020,249990,254130,254000,4350,1.74%,2021/06/30,1400/04/09
249000,248890,252040,249650,2530,1.02%,2021/06/29,1400/04/08
246360,246290,248640,247120,350,0.14%,2021/06/28,1400/04/07
243490,243490,246940,246770,2230,0.91%,2021/06/27,1400/04/06
244500,242290,245940,244540,2650,1.1%,2021/06/26,1400/04/05
241690,241190,242440,241890,100,0.04%,2021/06/24,1400/04/03
243310,240790,243340,241790,880,0.36%,2021/06/23,1400/04/02
241190,241190,243140,242670,1680,0.7%,2021/06/22,1400/04/01
239940,239190,241440,240990,1390,0.58%,2021/06/21,1400/03/31
234810,234690,240440,239600,4710,2.01%,2021/06/20,1400/03/30
244490,234690,244640,234890,9400,4%,2021/06/19,1400/03/29
242010,241950,244640,244290,2540,1.05%,2021/06/17,1400/03/27
240470,239450,242250,241750,1260,0.52%,2021/06/16,1400/03/26
239970,239950,240050,240490,770,0.32%,2021/06/15,1400/03/25
240970,238550,241050,239720,1310,0.55%,2021/06/14,1400/03/24
238970,238940,241250,241030,3280,1.38%,2021/06/13,1400/03/23
236830,236140,238350,237750,1480,0.62%,2021/06/12,1400/03/22
240010,239140,240450,239230,2210,0.92%,2021/06/10,1400/03/20
235480,235440,241550,241440,5950,2.53%,2021/06/09,1400/03/19
235890,234820,235960,235490,460,0.2%,2021/06/08,1400/03/18
234340,234240,235960,235950,1620,0.69%,2021/06/07,1400/03/17
234330,233900,234350,234330,90,0.04%,2021/06/03,1400/03/13
234060,228150,234360,234240,80,0.03%,2021/06/02,1400/03/12
234000,233970,238660,234160,100,0.04%,2021/06/01,1400/03/11
238590,232950,238660,234060,4510,1.93%,2021/05/31,1400/03/10
234640,234550,238660,238570,3910,1.67%,2021/05/30,1400/03/09
226560,226460,234660,234660,0,0,2021/05/29,1400/03/08
225260,225170,231470,231470,6310,2.8%,2021/05/27,1400/03/06
224190,224100,225270,225160,1060,0.47%,2021/05/26,1400/03/05
224120,223150,224430,224100,0,0,2021/05/25,1400/03/04
223590,223490,225110,224110,600,0.27%,2021/05/24,1400/03/03
223440,223390,223990,223510,20,0.01%,2021/05/23,1400/03/02
222980,222930,223550,223490,490,0.22%,2021/05/22,1400/03/01
223990,222930,224020,223000,1210,0.55%,2021/05/20,1400/02/30
225270,221720,225380,221790,3550,1.6%,2021/05/19,1400/02/29
222240,222140,225380,225340,3150,1.42%,2021/05/18,1400/02/28
224160,222140,225270,222190,1950,0.88%,2021/05/17,1400/02/27
220520,220410,224160,224140,3640,1.65%,2021/05/16,1400/02/26
220760,220410,221880,220500,4370,2.02%,2021/05/15,1400/02/25
219790,216130,219860,216130,3620,1.67%,2021/05/13,1400/02/23
221860,219750,221950,219750,2100,0.96%,2021/05/12,1400/02/22
216080,216080,223410,221850,5720,2.65%,2021/05/11,1400/02/21
207240,207190,217040,216130,8870,4.28%,2021/05/10,1400/02/20
206450,206370,207300,207260,890,0.43%,2021/05/09,1400/02/19
206390,206370,206480,206370,110,0.05%,2021/05/08,1400/02/18
206440,206370,206480,206480,2970,1.44%,2021/05/06,1400/02/16
214080,206210,214080,209450,7860,3.75%,2021/05/05,1400/02/15
218430,217260,218490,217310,1070,0.49%,2021/05/03,1400/02/13
229110,218380,229130,218380,10720,4.91%,2021/05/02,1400/02/12
232340,229020,232420,229100,3210,1.4%,2021/05/01,1400/02/11
